id,log_lsun,log_lsun_u,t_exp,t_exp_u,v_start,v_start_u,X,X_u,Z,Z_u,n,n_u
0,8.02527708327942,0.3918206018219002,13.918385922567287,0.2040857605705088,6828.953686845213,0.8778240620322951,0.7217426001077026,0.5724753336923422,0.0342739391458209,0.6823018009256754,9.39626195462992,0.1981309773149594
1,8.984004363522313,0.9244468686235072,14.579056711492028,0.3509014914426728,6510.161024581903,0.6501150175585019,0.7505959817883674,0.6686532726278913,0.0164468532186353,0.3221586508815223,10.487103959120782,0.7435519795603911
2,8.048067856113738,0.4044821422854103,14.689192806101962,0.3753761791337693,5791.169885416335,0.136549918154525,0.6083316979020224,0.1944389930067409,0.0185283286198037,0.3642086589859343,9.739297319289545,0.3696486596447713
3,7.5677981889311345,0.1376656605172967,14.468236591291436,0.3262747980647636,6299.598268151044,0.499713048679317,0.649436971635562,0.3314565721185398,0.0056604431282322,0.1042513763279242,10.586477090938304,0.7932385454691517
5,8.834232434944587,0.8412402416358822,13.203984729775703,0.0453299399501563,5764.922220545547,0.117801586103962,0.8362598398857403,0.954199466285801,0.0051215397920747,0.0933644402439337,9.996651949973453,0.4983259749867259
7,8.840319693125839,0.8446220517365778,13.806208952001956,0.1791575448893234,5903.063781643726,0.2164741297455183,0.7750850560912282,0.7502835203040942,0.0147243560452023,0.2873607281859052,9.469880133537616,0.234940066768808
10,8.634098997692933,0.7300549987182958,15.296831181439597,0.510406929208799,6139.916897350842,0.3856549266791726,0.7927882327660462,0.8092941092201538,0.0318726385091556,0.6337906769526391,10.114619173605552,0.5573095868027765
11,8.259080651227473,0.5217114729041519,15.12393236973022,0.4719849710511598,6732.287237056921,0.8087765978978007,0.7484706476035217,0.6615688253450721,0.0400939389070502,0.7998775536777827,10.377666938877846,0.6888334694389229
12,7.794464304606508,0.2635912803369485,16.036913787794287,0.6748697306209527,6591.54716098352,0.7082479721310856,0.7908762164389176,0.8029207214630588,0.0161387832703593,0.3159350155628159,10.791004338238617,0.8955021691193074
13,8.026753720503278,0.3926409558351547,14.170468126603668,0.2601040281341482,6326.777744401183,0.5191269602865591,0.7603504057214472,0.7011680190714904,0.0404240030032726,0.8065455152176289,9.073106918536237,0.0365534592681179
20,7.86744284519895,0.3041349139994167,13.732986041465391,0.1628857869923095,6967.314072890023,0.976652909207159,0.7775931916116436,0.7586439720388123,0.0093611033475078,0.1790121888385428,9.668544120012204,0.3342720600061029
21,8.550260971292055,0.6834783173844755,15.464439316465151,0.5476531814367007,6005.132866415585,0.2893806188682754,0.768654622335577,0.7288487411185902,0.0052377919222519,0.0957129681263014,10.004761716106652,0.5023808580533254
22,8.570309213759595,0.6946162298664419,13.273818361480629,0.0608485247734729,5945.745557849502,0.2469611127496442,0.7378649964880155,0.6262166549600515,0.0457791875601126,0.9147310618204582,9.375071833557232,0.1875359167786159
23,7.909663410467262,0.3275907835929234,16.482962768559375,0.7739917263465281,6213.05263571125,0.4378947397937506,0.6623550114410219,0.3745167048034062,0.0463611883898794,0.9264886543409978,10.230943823131026,0.6154719115655135
24,8.79401214200893,0.8188956344494057,16.595910702543485,0.7990912672318851,5893.4381729887045,0.2095986949919318,0.7482454342302982,0.660818114100994,0.004188527644173,0.0745157099832942,9.9708903816282,0.4854451908140996
25,7.68046437581834,0.2002579865657444,15.734080150521748,0.6075733667826106,6368.396604693263,0.5488547176380448,0.8448815499655212,0.9829384998850708,0.0126525303801798,0.2455056642460582,10.41352970084197,0.7067648504209846
29,8.137390873861946,0.4541060410344151,14.05685266272661,0.2348561472725802,5962.094083150338,0.2586386308216694,0.7828855214992207,0.7762850716640691,0.0322708449744701,0.6418352520094972,9.070110853039324,0.0350554265196622
30,7.638770966914369,0.1770949816190936,16.162805492383942,0.7028456649742093,6717.697351533307,0.7983552510952188,0.7113096612388642,0.537698870796214,0.0193715164040894,0.3812427556381697,9.751614298228905,0.3758071491144524
31,7.989385101631826,0.3718806120176813,13.49769672576802,0.1105992723928931,6315.83344970836,0.5113096069345429,0.5589288209787925,0.0297627365959748,0.0182814913570086,0.3592220476163361,10.396239980675825,0.6981199903379111
32,8.705979046381437,0.769988359100798,13.85703225416956,0.1904516120376795,6696.951040820737,0.783536457729098,0.7804717351321356,0.7682391171071187,0.0373309744052616,0.7440600889951849,10.320488050306892,0.6602440251534459
33,8.59742873711476,0.7096826317304218,15.936639222152364,0.6525864938116365,6571.910037370135,0.694221455264382,0.5612488678382532,0.0374962261275108,0.0126792529374513,0.2460455138879057,9.518341475682965,0.2591707378414816
