index,log_lsun,log_lsun_u,t_exp,t_exp_u,t_inner,t_inner_u,v_start,v_start_u
0,8.080696507543783,0.4226091708576567,14.570612310813246,0.8926530777033117,13027.317467342184,0.006829366835546025,6958.1480102335045,0.9651233418612539
1,8.57060421676212,0.6947801204234008,11.389329244934807,0.0973323112337019,16526.117578605255,0.8815293946513134,6839.969320497046,0.8666411004142053
2,7.5607819663624545,0.13376775909025262,11.383911394459073,0.09597784861476821,16032.2727468052,0.7580681867012998,6770.090082642314,0.808408402201928
3,8.022092327143588,0.3900512928575486,13.36409850318835,0.5910246257970874,15328.004484851897,0.5820011212129742,5857.18350668036,0.04765292223363293
4,9.055016620199709,0.9638981223331721,14.177479655649492,0.7943699139123732,13248.775656205735,0.062193914051433596,6324.094806109238,0.43674567175769796
5,7.391742101040884,0.039856722800490796,11.369072895311362,0.09226822382784072,13994.717874633156,0.24867946865828872,6591.258132077644,0.6593817767313701
6,7.877816727925829,0.30989818218101617,14.814054685317192,0.9535136713292982,14004.999585506228,0.2512498963765569,6954.065093566599,0.9617209113054991
7,8.629661805674269,0.7275898920412612,12.696521635691806,0.4241304089229514,15409.95691718367,0.6024892292959176,5965.067631205755,0.13755635933812882
8,8.173498787592472,0.4741659931069293,12.729579779767736,0.43239494494193387,16500.075908923554,0.8750189772308886,6413.852266544739,0.5115435554539493
9,7.7378212217703375,0.23212290098352062,13.416490219898659,0.6041225549746648,14409.729321062588,0.35243233026564724,6446.92879616156,0.5391073301346335
10,7.78365988100334,0.257588822779633,14.027129959369672,0.7567824898424179,14181.052845363258,0.2952632113408147,6889.77695541865,0.9081474628488749
11,8.48428191212957,0.646823284516428,12.432310382643085,0.358077595660771,16469.920774633993,0.867480193658498,6681.077238715476,0.7342310322628961
12,7.416545606614304,0.05363644811905777,11.739138962430705,0.18478474060767625,14307.99466071115,0.32699866517778775,6228.00600291129,0.35667166909274217
13,8.8001862980837,0.8223257211576114,11.333986444609426,0.08349661115235674,13428.816896739805,0.10720422418495112,6485.417141854804,0.57118095154567
14,8.154717262563613,0.4637318125353411,14.4523736940912,0.8630934235227998,13702.902093689814,0.1757255234224535,6704.283465075289,0.753569554229408
15,8.233072432170555,0.5072624623169749,13.291978308381317,0.5729945770953294,13381.283864816487,0.09532096620412189,5996.482456975596,0.1637353808129961
16,7.9226560084442355,0.3348088935801311,11.47087934002481,0.11771983500620264,16013.049845968406,0.7532624614921013,6650.5626322873595,0.7088021935727999
17,7.68448306945032,0.202490594139067,12.09312816592301,0.27328204148075275,15203.814175971973,0.5509535439929932,6859.217719457376,0.8826814328811471
18,7.509694163168796,0.10538564620488677,11.402115982008823,0.10052899550220573,15454.062111420313,0.6135155278550783,5929.115392700053,0.10759616058337762
19,7.675639755990477,0.19757764221693142,14.716144535240597,0.929036133810149,13292.799994237534,0.07319999855938342,6693.120880362179,0.7442674003018163
20,8.810361335896914,0.8279785199427304,12.250802308960203,0.31270057724005107,15984.854072763623,0.7462135181909058,6161.79980688026,0.30149983906688305
21,7.787573806173935,0.25976322565218624,11.774582140454509,0.19364553511362737,16201.031257722909,0.8002578144307273,6956.060238009575,0.963383531674646
